Weather_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
249,Barmer,IN,25.75,71.38,85.3,68,47,6.11,scattered clouds
250,Kinshasa,CD,-4.32,15.32,73.4,78,98,3.36,light rain
251,Maldonado,UY,-34.67,-54.92,44.6,87,0,3.36,clear sky
252,Padang,ID,-0.95,100.35,81.1,69,98,1.45,light rain
253,Trairi,BR,-3.28,-39.27,77.34,77,47,13.06,scattered clouds
254,Ribeira Grande,PT,38.52,-28.7,66.69,63,100,14.56,overcast clouds
255,Qaanaaq,GL,77.48,-69.36,27.23,91,68,6.6,broken clouds
256,Krasnyye Tkachi,RU,57.49,39.76,46.4,100,0,8.95,clear sky
257,Sorland,NO,67.67,12.69,51.49,80,98,16.6,overcast clouds
258,Leningradskiy,RU,69.38,178.42,40.93,94,100,10.27,light rain
259,Verkhnyaya Inta,RU,65.98,60.31,44.33,89,90,4.92,overcast clouds
260,Port Lincoln,AU,-34.73,135.87,57.61,71,10,10.71,clear sky
261,Nabire,ID,-3.37,135.48,81.95,80,100,4.12,overcast clouds
262,Vao,NC,-22.67,167.48,69.01,78,0,18.23,clear sky
263,Cururupu,BR,-1.83,-44.87,74.68,90,65,4.14,broken clouds
264,Aklavik,CA,68.22,-135.01,39.2,93,90,5.82,light intensity shower rain
265,Pevek,RU,69.7,170.31,42.48,79,100,8.16,overcast clouds
266,Drexel Heights,US,32.14,-111.03,93.99,15,1,8.05,clear sky
267,Abu Dhabi,AE,24.47,54.37,87.8,84,0,4.7,clear sky
268,Adrar,MR,20.5,-10.07,96.71,16,81,5.28,broken clouds
269,Geraldton,AU,-28.77,114.6,62.6,88,0,5.82,clear sky
270,Bafq,IR,31.61,55.41,58.89,33,0,0.2,clear sky
271,Dwarka,IN,22.24,68.97,82.62,87,98,13.65,overcast clouds
272,Razdolinsk,RU,58.42,94.67,47.97,82,99,3.56,overcast clouds
273,Caravelas,BR,-17.71,-39.25,71.1,86,0,6.11,clear sky
274,Calabozo,VE,8.92,-67.43,76.64,91,25,3.02,scattered clouds
275,Fortuna,US,40.6,-124.16,71.01,68,20,9.17,few clouds
276,Aktau,KZ,43.65,51.2,60.8,87,0,4.47,clear sky
277,Totskoye,RU,52.52,52.76,45.79,93,0,10.94,clear sky
278,Gopalpur,IN,19.27,84.92,83.39,84,31,4.21,scattered clouds
279,Jiexiu,CN,37.02,111.91,64.65,76,100,6.76,overcast clouds
280,Tanete,ID,-3.94,119.78,83.28,57,0,12.86,clear sky
281,Gusau,NG,12.16,6.66,73.85,84,28,7.83,scattered clouds
282,Santa Cruz,BO,-17.8,-63.17,71.6,60,75,23.04,broken clouds
283,Turukhansk,RU,65.82,87.98,49.5,88,100,11.7,light rain
284,Upington,ZA,-28.45,21.26,39.2,38,0,2.24,clear sky
285,Tecpan,GT,14.76,-90.99,68.0,85,100,1.01,overcast clouds
286,Mezen,RU,65.85,44.24,44.31,95,29,7.36,scattered clouds
287,Tubuala,PA,9.52,-79.03,82.0,94,75,2.24,broken clouds
288,Kalmunai,LK,7.42,81.82,80.33,76,100,4.65,overcast clouds
289,Key Biscayne,US,25.69,-80.16,84.2,74,75,6.93,broken clouds
290,Axim,GH,4.87,-2.24,74.35,93,65,5.48,broken clouds
291,Coquimbo,CL,-29.95,-71.34,53.6,87,2,3.36,clear sky
292,Zhigansk,RU,66.77,123.37,48.54,77,69,14.67,broken clouds
293,Odienne,CI,9.51,-7.57,70.99,95,97,3.18,light rain
294,Hobyo,SO,5.35,48.53,77.56,84,25,24.47,scattered clouds
295,Cockburn Town,TC,21.46,-71.14,83.44,78,100,12.55,overcast clouds
296,Seoul,KR,37.57,126.98,73.4,78,20,2.57,haze
297,Aljezur,PT,37.32,-8.8,64.99,94,2,1.99,clear sky
298,Rudnogorsk,RU,57.26,103.75,47.73,66,0,9.13,clear sky
299,Raska,RS,43.29,20.62,57.2,100,0,0.27,clear sky
300,Sencha,UA,50.25,33.35,57.96,88,0,7.05,clear sky
301,Torrington,US,41.8,-73.12,62.01,67,0,1.99,clear sky
302,Nouakchott,MR,18.09,-15.98,84.2,79,0,10.29,clear sky
303,Ciudad Bolivar,VE,8.12,-63.55,83.37,59,0,5.55,clear sky
304,Cantel,GT,14.82,-91.45,68.0,95,100,1.7,overcast clouds
305,Huari,PE,-9.33,-77.23,43.29,78,51,4.68,broken clouds
306,Kualakapuas,ID,-3.01,114.39,80.6,78,17,4.7,few clouds
307,Ambilobe,MG,-13.2,49.05,64.04,74,0,4.0,clear sky
308,Inhambane,MZ,-23.86,35.38,66.2,93,0,6.93,clear sky
309,Ahipara,NZ,-35.17,173.17,60.44,82,41,17.92,scattered clouds
310,Kadaya,RU,50.93,119.29,52.59,64,0,2.71,clear sky
311,Chilca,PE,-12.52,-76.74,60.8,82,90,9.17,overcast clouds
312,Yar-Sale,RU,66.83,70.83,48.24,84,100,17.05,light rain
313,San Patricio,MX,19.22,-104.7,86.0,79,75,11.41,broken clouds
314,Manggar,ID,-2.88,108.27,82.69,73,0,9.73,clear sky
315,Tambura,SS,5.6,27.47,67.84,98,3,1.03,light rain
316,Meadow Lake,US,34.8,-106.54,78.8,21,75,8.05,smoke
317,Amahai,ID,-3.33,128.92,80.42,76,26,9.95,scattered clouds
318,Port Macquarie,AU,-31.43,152.92,72.0,64,21,1.01,moderate rain
319,Saskylakh,RU,71.92,114.08,51.19,62,99,3.02,overcast clouds
320,Kisangani,CD,0.52,25.2,71.19,95,2,1.97,clear sky
321,Dicabisagan,PH,17.08,122.42,83.7,73,100,2.62,overcast clouds
322,Grand-Lahou,CI,5.14,-5.02,75.43,91,94,7.2,overcast clouds
323,Sokoto,NG,13.06,5.24,78.91,71,3,9.71,clear sky
324,Novorzhev,RU,57.03,29.33,57.72,94,96,7.96,overcast clouds
325,Nouadhibou,MR,20.93,-17.03,84.2,54,75,17.22,broken clouds
326,Susuman,RU,62.78,148.17,52.02,45,34,3.65,scattered clouds
327,Sept-Iles,CA,50.2,-66.38,52.0,50,20,10.29,few clouds
328,Juxtlahuaca,MX,17.43,-99.15,71.69,82,100,3.94,overcast clouds
329,Constantine,DZ,36.37,6.61,59.0,93,20,2.24,few clouds
330,Port-Gentil,GA,-0.72,8.78,75.2,85,100,12.55,overcast clouds
331,Itaituba,BR,-4.28,-55.98,83.91,47,65,1.28,broken clouds
332,Sisimiut,GL,66.94,-53.67,34.5,75,89,10.33,overcast clouds
333,Shakawe,BW,-18.37,21.85,64.42,25,0,5.55,clear sky
334,Acapulco,MX,16.86,-99.89,84.2,79,75,4.7,broken clouds
335,Poum,NC,-20.23,164.02,73.96,72,0,11.54,clear sky
336,Ouallam,NE,14.32,2.09,85.75,57,0,14.2,clear sky
337,Eenhana,NA,-17.47,16.33,69.8,18,0,5.82,clear sky
338,Roald,NO,62.58,6.13,50.0,93,90,12.75,light intensity drizzle
339,Taltal,CL,-25.4,-70.48,55.87,75,49,3.8,scattered clouds
340,Wuhu,CN,31.34,118.38,71.6,100,90,4.47,heavy intensity rain
341,Vila Franca Do Campo,PT,37.72,-25.43,64.4,59,20,6.93,few clouds
342,Nhulunbuy,AU,-12.23,136.77,82.4,65,40,18.34,scattered clouds
343,Moose Factory,CA,51.26,-80.61,46.4,70,20,5.82,few clouds
344,Isilkul,RU,54.91,71.27,51.87,88,2,3.58,clear sky
345,Bongandanga,CD,1.5,21.05,69.4,98,100,2.68,overcast clouds
346,Grand Gaube,MU,-20.01,57.66,68.0,52,62,8.99,broken clouds
347,Shimoda,JP,34.67,138.95,75.2,83,75,10.29,broken clouds
348,Mangrol,IN,21.12,70.12,80.85,85,28,9.4,scattered clouds
349,Hami,CN,42.8,93.45,64.98,24,0,9.08,clear sky
350,Helsinki,FI,60.17,24.94,50.0,100,25,5.82,scattered clouds
351,Lasa,IT,46.62,10.7,59.0,80,77,1.45,broken clouds
352,Samarai,PG,-10.62,150.67,79.74,84,80,12.24,light rain
353,Vila Velha,BR,-20.33,-40.29,75.99,73,0,10.29,clear sky
354,Vostok,RU,46.49,135.88,62.76,43,87,1.52,overcast clouds
355,Areosa,PT,41.72,-8.86,68.0,88,75,8.05,broken clouds
356,Presidencia Roque Saenz Pena,AR,-26.79,-60.44,60.57,43,100,7.09,overcast clouds
357,Morant Bay,JM,17.88,-76.41,86.0,74,20,12.75,few clouds
358,Deputatskiy,RU,69.3,139.9,42.51,70,1,5.44,clear sky
359,Sao Jose Da Coroa Grande,BR,-8.9,-35.15,74.88,84,99,11.92,overcast clouds
360,Stillwater,US,36.12,-97.06,77.0,61,1,5.82,clear sky
